ID,URL,NomFichier
246,https://www.vinatis.com/97725-fine_default/rose-d-anjou-champ-d-oiseaux-2024-domaine-des-trottieres.png,00246.png
247,https://www.vinatis.com/85381-fine_default/rhino-chenin-blanc-2023-tussock-jumper.png,00247.png
248,https://www.vinatis.com/97932-fine_default/valdobbiadene-prosecco-superiore-docg-extra-dry-millesimato-2024-val-d-oca.png,00248.png
249,https://www.vinatis.com/98400-fine_default/chardonnay-2023-bread-and-butter.png,00249.png
250,https://www.vinatis.com/76172-fine_default/petit-chablis-2022-maison-simonnet-febvre.png,00250.png
251,https://www.vinatis.com/70972-fine_default/macon-prisse-2020-parcelle-cie-vignerons-des-terres-secretes.png,00251.png
252,https://www.vinatis.com/97424-fine_default/viognier-2024-flores.png,00252.png
253,https://www.vinatis.com/89630-fine_default/prosecco-doc-rose-brut-millesimato-2023-ville-d-arfanta.png,00253.png
254,https://www.vinatis.com/97960-fine_default/le-pigeonnier-rose-2024-cave-de-pazac.png,00254.png
255,https://www.vinatis.com/93463-fine_default/mise-de-la-baronnie-medoc-2020-baron-philippe-de-rothschild.png,00255.png
256,https://www.vinatis.com/97182-fine_default/cotes-du-rhone-2024-sans-soufre-ajoute-cave-de-cairanne.png,00256.png
257,https://www.vinatis.com/80953-fine_default/cuvee-16-limited-edition-2021-botter.png,00257.png
258,https://www.vinatis.com/83886-fine_default/cru-la-maqueline-cremant-de-bordeaux.png,00258.png
259,https://www.vinatis.com/90563-fine_default/beaujolais-pierres-dorees-2022-domaine-du-mont-verrier.png,00259.png
260,https://www.vinatis.com/93886-fine_default/chateau-bourdieu-2022.png,00260.png
261,https://www.vinatis.com/79495-fine_default/vacqueyras-prestige-volute-2022-romain-duvernay.png,00261.png
262,https://www.vinatis.com/85564-fine_default/chardonnay-2023-auzias.png,00262.png
263,https://www.vinatis.com/98451-fine_default/accord-parfait-fronton-2024.png,00263.png
264,https://www.vinatis.com/87468-fine_default/bordeaux-rouge-dourthe-n1-2021.png,00264.png
265,https://www.vinatis.com/88014-fine_default/cow-malbec-2023-tussock-jumper.png,00265.png
266,https://www.vinatis.com/88145-fine_default/cotes-du-rhone-blanc-essentielle-2023-maison-francois-xavier-nicolas.png,00266.png
